Views	Channel	Tag
2296258	Made by Google	Google Lens|Chromebook|Chrome OS|Google Store|Google Home|Pixel|Pixel XL|Daydream|VR|AR|Android|made by google|October 4th|Oct. 4th|Oct 4th|Launch|New|hardware|phone|phones|devices|device|living room|home|chromecast|accessories|google hardware|tech annoucement|10/4|#madebygoogle|Google Phone|launch|headset|Google|max|mini|clips|pixelbook|buds|google store|project fi|ML|machine learning
1259050	Unbox Therapy	fidget spinner phone|fidget|spinner|phone|fidget spinner|smartphone|india|fidget toys|fidget spinners|fidget spinner tricks|toy|best fidget spinner|spinners|unbox therapy|unbox|therapy|unboxing|unboxtherapy|2017|iphone 8|apple|iphone|iphone x|fidget spinner video|review|iphone 8 plus|vs|technology|gadgets|android|samsung|tech|galaxy s8|spinning|youtube|gadget|apple iphone x|apple iphone 8|8 plus|iphone x review|iphone x vs|iphone 8 review|new|best
744995	JerryRigEverything	Apple watch|Sapphire apple watch|scratch test|Series 3 apple watch|Mohs scratch test|Mohs scale of hardness|Apple watch sapphire|Durability test|wearable|wearable technology|watch|sapphire|tissot|premium watch|IOS|android wear|mobile device|gemstone|diamond selector tool|real sapphire|pure sapphire
528728	Mrwhosetheboss	google ultra pixel|google pixel 2|google pixel 2 review|pixel 2 leak|pixel 2 xl leak|google pixel 2017|smartphone|android|google pixel 2 xl|pixel 2 unboxing|pixel|google|google pixel|2017|review|leak|unboxing|ultra|pixel 2 release date|pixel 2 camera|pixel 2 specs|ultrapixel
437796	JerryRigEverything	Essential Phone Drop Test|Essential Phone|Drop test|Essential PH-1|ceramic drop test|Titanium Drop test|Ceramic phone|mobile device|android|andy rubin|pure android|best android phone|iphone 7|iphone 8
396083	Austin Evans	smartphone|challenge|gadgets|android|budget|cheap|tech|cool gadgets|unboxing|austin evans
394927	Mrwhosetheboss	google ultra pixel|google pixel 2|google pixel 2 review|pixel 2 leak|pixel 2 xl leak|google pixel 2017|smartphone|android|google pixel 2 xl|pixel 2 unboxing|pixel|google|google pixel|2017|review|leak|unboxing|ultra|pixel 2 release date|pixel 2 camera|pixel 2 specs|ultrapixel
387873	Austin Evans	smartphone|challenge|gadgets|android|budget|cheap|tech|cool gadgets|unboxing|austin evans
282485	Mrwhosetheboss	google ultra pixel|google pixel 2|google pixel 2 review|pixel 2 leak|pixel 2 xl leak|google pixel 2017|smartphone|android|google pixel 2 xl|pixel 2 unboxing|pixel|google|google pixel|2017|review|leak|unboxing|ultra|pixel 2 release date|pixel 2 camera|pixel 2 specs|ultrapixel
281779	WIRED	android|android os|augmented reality|chromebook|google|google pixel|ar|pixelbook|google pixel 2|phone reviews|google pixel 2 launch|smartphones|google home|pixel buds|sundar pichai|google daydream|google max|google pixelbook|google chromebook|pixel earbuds|babelfish|google phone|google headphones|google event|pixel xl|pixel 2 xl|pixel 2xl|pixel headphone jack|google clips|google press conference|wired|wired.com|tech|technology
